Title,Course Code,Instructor,Days,Time,Location,Description
Randomness and Computation,COMPSCI 271,Alistair J Sinclair,"TU, TH",9:30 am - 10:59 am,Wheeler 200,"Computational applications of randomness and computational theories of randomness. Approximate counting and uniform generation of combinatorial objects, rapid convergence of random walks on expander graphs, explicit construction of expander graphs, randomized reductions, Kolmogorov complexity, pseudo-random number generation, semi-random sources."
Cryptography,COMPSCI 276,Sanjam Garg,"TU, TH",11:00 am - 12:29 pm,Soda 405,"Graduate survey of modern topics on theory, foundations, and applications of modern cryptography. One-way functions; pseudorandomness; encryption; authentication; public-key cryptosystems; notions of security. May also cover zero-knowledge proofs, multi-party cryptographic protocols, practical applications, and/or other topics, as time permits."
Intro to Computer Vision and Computational Photography,COMPSCI 280A,Alexei Efros,"M, W",5:00 pm - 6:29 pm,Li Ka Shing 245,"This course introduces students to computing with visual data (images and video). We will cover acquisition, representation, and manipulation of visual information from digital photographs (image processing), image analysis and visual understanding (computer vision), and image synthesis (computational photography). Key algorithms will be presented, ranging from classical to contemporary, with an emphasis on using these techniques to build practical systems. The hands-on emphasis will be reflected in the programming assignments, where students will acquire their own images and develop, largely from scratch, image analysis and synthesis tools for real-world applications."
Natural Language Processing,COMPSCI 288,"Alane Suhr, Dan Klein","TU, TH",12:30 pm - 1:59 pm,Donner Lab 155,"Methods and models for the analysis of natural (human) language data. Topics include: language modeling, speech recognition, linguistic analysis (syntactic parsing, semantic analysis, reference resolution, discourse modeling), machine translation, information extraction, question answering, and computational linguistics techniques."
Introduction to Machine Learning,COMPSCI 289A,Jennifer Listgarten,"TU, TH",2:00 pm - 3:29 pm,Haas Faculty Wing F295,"This course provides an introduction to theoretical foundations, algorithms, and methodologies for machine learning, emphasizing the role of probability and optimization and exploring a variety of real-world applications. Students are expected to have a solid foundation in calculus and linear algebra as well as exposure to the basic tools of logic and probability, and should be familiar with at least one modern, high-level programming language."
Special Topics: Large Scale Vision and Language Models,COMPSCI 294,Trevor Darrell,M,3:00 pm - 4:59 pm,Berkeley Way West 1213,Topics will vary from semester to semester. See Computer Science Division announcements.
Special Topics: Immersive Computing and Virtual Reality,COMPSCI 294,Allen Y Yang,"TU, TH",3:30 pm - 4:59 pm,Soda 306,Topics will vary from semester to semester. See Computer Science Division announcements.
Special Topics: Machine Learning Systems,COMPSCI 294,"Joseph E. Gonzalez, Matei Zaharia","M, W",2:00 pm - 3:29 pm,Soda 310,Topics will vary from semester to semester. See Computer Science Division announcements.
Special Topics: Computational Human Vision,COMPSCI 294,Ren Ng,TU,1:00 pm - 3:59 pm,Berkeley Way West 1217,Topics will vary from semester to semester. See Computer Science Division announcements.
Special Topics: Special Topics on Decentralized Finance,COMPSCI 294,Xiaodong Dawn Song,M,10:00 am - 11:59 am,Joan and Sanford I. Weill 101D,N/A
Special Topics: Special Topics on Decentralized Intelligence: Large Language Model Agents,COMPSCI 294,Xiaodong Dawn Song,M,3:00 pm - 4:59 pm,Latimer 120,Topics will vary from semester to semester. See Computer Science Division announcements.
Special Topics: STAR Assessments for Proficiency-Based Learning,COMPSCI 294,"Dan Garcia, Armando Fox, Narges Norouzi",M,2:00 pm - 3:29 pm,Soda 606,N/A
Special Topics: Learning Problems in Quantum Computing,COMPSCI 294,John Wright,"M, W",10:30 am - 11:59 am,Soda 405,Topics will vary from semester to semester. See Computer Science Division announcements.
Special Topics: Research in AI Education,COMPSCI 294,"Gireeja Vishnu Ranade, Narges Norouzi",TU,2:00 pm - 3:29 pm,Soda 606,Topics will vary from semester to semester. See Computer Science Division announcements.
"Group Studies Seminars, or Group Research: Theory Seminar",COMPSCI 298,"Prasad Raghavendra, Avishay Tal",W,12:00 pm - 1:29 pm,Soda 438,"Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies Seminars, or Group Research: EECS Colloquium",COMPSCI 298,Jelani Nelson,W,4:00 pm - 4:59 pm,Soda 306,"Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies Seminars, or Group Research: Database Seminar",COMPSCI 298,"Joseph M Hellerstein, Aditya Parameswaran",W,11:00 am - 11:59 am,Soda 438,"Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
Adaptive Instruction Methods in Computer Science,COMPSCI 370,Christopher Todd Hunn,TU,5:00 pm - 6:59 pm,Wheeler 212,"This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions."
Adaptive Instruction Methods in Computer Science,COMPSCI 370,Christopher Todd Hunn,TH,5:00 pm - 6:59 pm,Wheeler 212,"This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions."
Teaching Techniques for Computer Science,COMPSCI 375,Armando Fox,F,10:00 am - 11:59 am,Soda 438,"Discussion and practice of techniques for effective teaching, focusing on issues most relevant to teaching assistants in computer science courses."
Advanced Computing,COMPSS 211,N/A,M,9:00 am - 11:59 am,,"Predictive models are a core tool for computational social scientists. This class aims to provide students with a practitioner’s level of understanding of different models and techniques: which methods exist, how they relate to each other, the shortcomings they may have, and their most relevant applications. The focus is on methods which are used in practice in industry, which tend to be off-the-shelf rather than cutting edge, and are often chosen for reliability and ease of use rather than performance."
Applied Statistics I,COMPSS 212,Maximilian Auffhammer,TH,1:00 pm - 3:59 pm,,"As social scientists we study human behavior and its consequences on others and the world around us - both physical (e.g. the environment) and non-physical (e.g. currency markets). In order to test hypotheses of interest, one needs to choose the right tool for the right problem in order to come up with a valid answer to the question(s) one is asking. The goal of this course is to get students to: identify a problem or research question of interest, formulate a testable hypothesis, characterize the data generating process, chose the correct statistic to test their hypothesis, carefully characterize the data to conduct their test, conduct their test using software, correctly interpret test results, and write up or present their findings."
"Data, Ethics and Society",COMPSS 213,N/A,W,12:30 pm - 3:29 pm,,"If knowledge is power, then what is data? In this course, we will examine the power that lies within data and learn to recognize and manage the many ways data shape and are shaped by power relations in organizations and more broadly in society. As someone using data in applied settings, you will play an important role in determining how data are used and how the risks and benefits of analysis are balanced within organizations. We will learn from approaches taken by scholars, data science practitioners, and regulators, and we will devise our own ways to answer these questions."
Computational Social Science 1A,COMPSS 214A,William D Thompson,,,,"This course will cover issues that often arise in analyzing data about larger aggregates, primarily regions or countries, companies, and government agencies. How do these different aggregates interact in market and non-market spaces? How do resources (financial, network), culture (norms, values, expectations, symbols), and power and politics (formal authority, informal power) affect such interactions?"
Computational Soc Sci 1B,COMPSS 214B,N/A,F,2:00 pm - 4:59 pm,,"This course will cover concepts and tools needed to understand how individuals, households, and other small groups behave and interact. Specific applications include when and how people vote, what people choose to buy and at what price, and how they interact in various social networks. It will pay special attention to how such behavior varies depending on gender, race, education, and income. And it will introduce students to interpersonal networks: how they arise and evolve, how they are structured, and what their effects are on individual and group behavior."
